Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
Senior Data Scientist,15,1,181000,111000,1,1,3
"Data Scientist, Product Analytics",14,3,181000,111000,1,4,2
Data Analyst,3,1,181000,111000,1,5,2
"Director, Data Science",15,1,181000,111000,1,2,2
Data Scientist,37,1,181000,111000,1,3,2
Quantitative Researcher,29,1,181000,111000,1,5,5
AI Scientist,4,1,181000,111000,3,5,2
Data Scientist,8,1,181000,111000,1,2,2
Data Scientist/Machine Learning,11,1,181000,111000,1,3,2
"Data Scientist, Acorn AI Labs",23,3,181000,111000,1,3,2
Data Scientist,8,3,181000,111000,2,3,2
Data Scientist - Alpha Insights,21,3,181000,111000,2,3,2
Data Scientist,24,1,181000,111000,2,2,2
Data Scientist/ML Engineer,79,3,181000,111000,2,2,2
Data Scientist,17,1,181000,111000,1,2,2
"VP, Data Science",10,1,181000,111000,2,8,2
"Data Scientist, Disney Personalization",99,3,181000,111000,2,5,2
"Senior Data Scientist, Data Science Operations",19,3,181000,111000,1,5,3
Quantitative Researcher – Intern (US),20,1,181000,111000,1,2,5
Senior Data Engineer (Healthcare Domain experience required),24,1,181000,111000,2,2,3
Data Scientist,7,1,181000,111000,1,2,2
"Data Scientist, Marketplace Economics",16,3,181000,111000,3,5,2
Data Scientist,12,3,181000,111000,1,2,2
Lead Data Scientist,169,3,181000,111000,1,7,4
"Data Scientist, Personalization",7,1,181000,111000,1,2,2
Principal Data Scientist,169,3,181000,111000,2,7,2
"Data Scientist, Decisions",10,3,140000,120000,1,3,2
Data Scientist,32,1,140000,120000,1,2,2
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",19,3,140000,120000,1,4,3
Data Scientist,9,1,140000,120000,2,3,2
"Data Scientist, Analytics",7,1,140000,120000,1,2,2
Technical Data Consultant,11,1,140000,120000,1,2,2
"Data Scientist, Instagram - Well-being, Trust",18,3,140000,120000,2,6,2
"Data Scientist, Decisions",9,1,140000,120000,1,2,2
Quantitative Research Analyst,24,1,140000,120000,1,1,2
"Data Scientist, Analytics & Inference",11,1,140000,120000,1,3,2
CIB - Data Scientist,223,3,140000,120000,2,3,2
Data Scientist,16,1,140000,120000,1,2,2
Lead Data Scientist - 66201BR,169,3,140000,120000,2,7,4
Data Scientist,87,3,140000,120000,2,3,2
"Data Scientist, Buyer Experience",27,3,140000,120000,2,3,2
Data Scientist,28,3,140000,120000,1,2,2
Data Scientist - Forecasting,28,3,140000,120000,2,2,2
Data Scientist - Machine Learning Platform,16,3,147000,119000,1,2,2
Data Scientist / Engineer,7,1,147000,119000,1,2,2
Applied Data Scientist,14,1,147000,119000,1,1,2
Data Scientist - Analytics Engineer,223,3,147000,119000,1,2,2
Data Scientist,18,1,147000,119000,2,3,2
Credit Analytics Manager,7,1,147000,119000,2,5,2
Data Scientist - Nationwide Opportunities,28,3,147000,119000,1,4,2
Data Scientist,29,1,147000,119000,2,2,2
Data Scientist,24,3,147000,119000,1,2,2
Data Engineer (Python),12,1,124000,74000,1,3,2
Data Scientist - Next Gen Digital Investing App,105,1,124000,74000,1,2,2
Data Scientist Technical Lead,24,3,124000,74000,2,10,4
Data Scientist - Relocate to Washington D.C.,75,Unknown,124000,74000,1,2,2
Senior Data Scientist,37,3,124000,74000,2,3,3
"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",23,3,124000,74000,2,5,2
"Data Scientist, Analytics- Instagram-Family Stories",18,3,124000,74000,1,5,2
Point72 Data Scientist,8,3,124000,74000,2,3,2
"Data Scientist II, Data, Models & Decisions",27,3,124000,74000,2,5,2
AI - Quantitative Research Scientist,41,3,124000,74000,2,3,2
Data Scientist,82,3,124000,74000,1,3,2
Data Scientist - Altdata,27,1,124000,74000,1,2,2
Data Scientist,12,1,124000,74000,1,3,2
Data Scientist,11,1,124000,74000,1,2,2
Machine Learning Engineer/Scientist,22,1,124000,74000,1,3,2
Point72 Healthcare Data Scientist,8,3,124000,74000,1,4,2
Senior Data Scientist - Automated Marketing,16,3,124000,74000,1,4,3
Data Scientist,8,1,124000,74000,2,5,2
Machine Learning & Data Engineer (Remote),17,1,121000,102000,1,3,2
Data Scientist / Statistician,19,1,121000,102000,2,3,2
Data Analyst,126,3,121000,102000,1,2,2
Data Scientist (Java),13,1,121000,102000,1,2,2
Data Scientist,15,1,121000,102000,1,2,2
Data Scientist,124,1,121000,102000,1,2,2
Data Scientist,54,3,121000,102000,1,3,2
Senior Data Scientist,13,1,121000,102000,3,5,3
"Quantitative Developer, Data & Institutional Markets",10,1,121000,102000,2,8,2
"Data Scientist, Two Sigma Private Investments",21,3,121000,102000,1,1,2
Data Scientist,11,1,121000,102000,1,5,2
Senior Data Scientist,18,3,121000,102000,2,5,3
Data Scientist - Demand Forecasting,28,3,121000,102000,1,2,2
Senior Data Scientist,8,1,121000,102000,1,3,3
Data Engineer,5,1,210000,129000,1,2,2
Data Scientist/Data Science Instructor (Part-time),8,1,210000,129000,2,2,2
"Senior Analyst, Data Science",20,3,210000,129000,1,5,3
Applied Scientist,28,3,210000,129000,1,2,2
Data Scientist,12,1,210000,129000,2,5,2
Data Analyst,6,1,210000,129000,1,2,2
Data Scientist(s)/Machine Learning Engineer,35,1,210000,129000,1,1,2
- Quantitative Modeler / Data Scientist - Marketing - Associate,223,3,210000,129000,2,1,2
"Senior Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX",87,3,210000,129000,1,5,4
Data Scientist,46,3,210000,129000,1,5,2
Data Scientist ,15,1,210000,129000,1,2,2
Data Scientist,10,1,210000,129000,1,2,2
"Principal Associate, Data Scientist - Small Business Card, Entity Resolution",28,3,210000,129000,1,1,2
Principal Data Scientist,87,3,210000,129000,3,5,2
Business Intelligence Analyst,7,1,254000,156000,1,2,2
Data Analyst,397,3,254000,156000,1,2,2
Data Scientist,25,3,254000,156000,3,5,2
Senior Data Scientist,55,1,254000,156000,1,4,3
Senior Data Scientist,13,3,254000,156000,2,5,3
NLP Machine Learning Engineer,10,1,254000,156000,3,5,2
Senior Data Scientist,5,1,254000,156000,2,3,3
Senior Data Scientist,5,1,254000,156000,2,6,3
Senior Data Engineer,12,1,254000,156000,2,5,3
Data Scientist - Disney Streaming Services,4,1,254000,156000,2,3,2
Data Analyst,9,1,254000,156000,1,1,2
"Manager, Data Scientist Recommendations",5,3,147000,119000,2,3,2
Lead Data Scientist,27,3,147000,119000,2,5,4
Senior Data Scientist,7,1,147000,119000,2,3,3
Principal Data Scientist,12,1,147000,119000,3,6,2
Scientist Data Analytics,14,1,147000,119000,1,3,2
Data Engineer,10,1,147000,119000,1,1,2
Data Analyst,15,1,147000,119000,1,1,2
Senior Data Scientist II,74,3,147000,119000,1,3,3
Senior Data Scientist - R&D Oncology,109,3,147000,119000,2,2,3
Data Analyst,15,3,147000,119000,1,1,2
Data Scientist Product Manager,4,1,147000,119000,1,4,2
"Senior Data Scientist, Real World Evidence",10,1,147000,119000,2,4,3
Data Scientist/Python Developer,54,1,147000,119000,2,10,2
"Software Engineer - Data Engineering, Finance Products",19,3,147000,119000,2,2,2
Senior Data Scientist,33,3,147000,119000,1,5,3
Senior Data Scientist,8,1,147000,119000,2,3,3
Data Engineer,108,1,147000,119000,1,3,2
Senior Data Scientist,29,3,147000,119000,1,5,3
Data Scientist,129,3,147000,119000,2,5,2
Principal Data Scientist,6,1,152000,116000,3,6,2
Machine Learning Engineer,10,3,152000,116000,2,4,2
"Senior Data Scientist, Treasury Product Manager",118,3,152000,116000,2,3,3
Data Scientist - Market and Sales Analytics,9,1,152000,116000,1,4,2
Senior Data Scientist,28,3,152000,116000,2,5,3
Data Scientist (Fintech),6,1,152000,116000,2,4,2
Data Scientist I Seller Development,28,3,152000,116000,2,3,2
"Applied Scientist, Machine Learning (BK or SF)",17,1,152000,116000,3,5,2
Quantitative Researcher,19,1,152000,116000,1,1,5
AI Engineering: Data Scientist/Machine Learning Engineer,223,3,152000,116000,1,1,2
Quantum Data Scientist (Industrial-Process sector),111,3,152000,116000,2,2,2
"Machine Learning Engineer, Computer Vision",10,1,152000,116000,2,5,2
Senior Data Scientist,29,3,171000,133000,1,1,3
Quantitative Researcher,9,1,171000,133000,1,4,5
